
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
7560,Uttar Pradesh,Agra,Block Office,77.7462,27.1774,2023,8.14,5850,0,500,1594,1.72,454,18,-,1390,176,228,851,6,0.00,0.00,17.00
7561,Uttar Pradesh,Agra,Raunakata,77.8734,27.2341,2023,8.00,4923,0,488,760,0.70,1091,37,-,790,124,115,891,3,0.31,0.00,9.61
7562,Uttar Pradesh,Agra,City(Sai Ki Takia Crossing),78.0095,27.1707,2023,8.20,1520,0,805,50,0.48,38,13,-,310,40,50,237,3,0.19,0.00,18.00
7563,Uttar Pradesh,Agra,Block Office,77.8857,27.0715,2023,8.15,1051,0,537,57,1.00,43,11,-,420,56,67,67,5,0.21,0.00,25.00
7564,Uttar Pradesh,Agra,Agra-Bah Road,78.4565,26.9073,2023,7.72,972,0,268,99,0.92,42,104,-,295,68,30,99,4,0.20,0.00,0.00
7565,Uttar Pradesh,Agra,Block Office,78.5893,26.8697,2023,8.16,1705,0,586,156,0.76,162,12,0.57,350,44,58,261,11,0.00,0.00,5.00
7566,Uttar Pradesh,Agra,Poora Guman Singh,78.5895,27.8177,2023,8.30,470,0,238,21,0.71,0,0,-,175,40,18,30,3,0.32,1.27,3.93
7567,Uttar Pradesh,Agra,Block Office,78.0601,27.1206,2023,8.22,3345,0,695,440,0.83,516,17,-,500,84,70,615,7,0.00,0.00,15.00
7568,Uttar Pradesh,Agra,Sayed (Kundol),78.1661,27.1313,2023,8.30,1215,60,500,43,0.98,49,6,-,275,60,30,178,4,0.36,0.00,12.11
7569,Uttar Pradesh,Agra,Block Office,77.8919,27.1727,2023,8.36,3220,12,647,398,1.42,489,9,-,310,44,48,651,2,0.00,0.00,12.00
7570,Uttar Pradesh,Agra,Amanabad (Kanarau Chauraha),78.2018,27.3941,2023,8.17,1464,0,329,270,0.73,84,0,-,320,40,53,210,4,0.13,0.00,3.85
7571,Uttar Pradesh,Agra,Block Office,78.2962,27.0297,2023,7.86,2568,0,512,380,0.18,320,29,-,340,60,46,483,2,0.36,0.00,4.00
7572,Uttar Pradesh,Agra,Block Office,77.6678,27.0942,2023,7.94,4927,0,793,888,1.25,501,135,-,615,60,112,943,3,0.00,0.00,13.00
7573,Uttar Pradesh,Agra,Hiraman,77.7825,27.0350,2023,8.22,5614,0,573,966,1.37,1052,24,-,890,112,146,1002,5,0.00,0.00,11.84
7574,Uttar Pradesh,Agra,Block Office,77.5981,26.8652,2023,7.92,890,0,439,43,0.92,49,0,-,325,52,47,58,2,0.00,0.00,6.00
7575,Uttar Pradesh,Agra,Block Office,78.7049,26.8282,2023,7.86,3790,0,756,724,0.59,304,28,-,780,76,142,604,6,0.00,0.00,37.00
7576,Uttar Pradesh,Agra,Gadhwar,78.6978,26.8742,2023,8.36,454,0,262,14,1.03,0,0,-,185,32,25,29,3,0.16,1.17,4.99
7577,Uttar Pradesh,Agra,Block Office,78.0296,27.3165,2023,7.82,6881,0,512,1314,0.94,1321,14,-,1830,216,310,900,4,0.00,0.00,11.00
7578,Uttar Pradesh,Agra,Block Office,77.8222,26.9552,2023,8.30,1674,18,586,99,0.67,164,7,-,290,44,43,270,1,0.00,0.00,5.00
7579,Uttar Pradesh,Agra,Block Office,77.9350,26.9360,2023,8.16,1027,0,525,57,1.10,36,16,-,290,40,46,111,2,0.00,0.00,7.00
7580,Uttar Pradesh,Agra,Lohaita,78.0451,26.9795,2023,8.21,1223,0,537,60,1.15,67,0,-,220,40,29,189,3,0.00,0.00,11.05
7581,Uttar Pradesh,Agra,Sbi Near Block Office,78.1233,27.0136,2023,8.40,1693,18,592,149,3.10,148,31,-,295,32,52,265,6,0.22,0.00,21.00
7582,Uttar Pradesh,Aligarh,Block H.Q,78.2712,27.8050,2023,8.36,1215,18,366,85,0.40,86,71,0.00,280,36,46,149,18,0.23,0.00,22.00
7583,Uttar Pradesh,Aligarh,Dist. H.Q,78.0730,27.8976,2023,8.19,1625,0,573,177,0.40,121,64,0.00,450,36,86,184,12,0.00,0.00,10.00
7584,Uttar Pradesh,Aligarh,"Arya Nagar, Nagla Masani",78.0548,27.8838,2023,8.54,1245,18,378,170,1.40,18,14,0.00,180,24,29,205,5,0.00,0.00,17.38
7585,Uttar Pradesh,Aligarh,"Asadpur Kayam,Kyampur",78.1144,27.8861,2023,8.21,654,0,378,21,0.80,17,0,0.00,240,36,36,57,6,0.12,0.00,21.53
7586,Uttar Pradesh,Aligarh,"Bada Chowk, Sarai Rehman",78.0700,27.8938,2023,8.13,1380,0,500,113,0.59,80,57,0.00,370,28,73,150,11,0.47,0.00,40.52
7587,Uttar Pradesh,Aligarh,Beema Nagar,78.0466,27.9059,2023,8.05,1244,0,573,92,0.45,48,17,0.00,400,36,75,124,10,0.08,0.00,73.11
7588,Uttar Pradesh,Aligarh,Dohra Maffi,78.0898,27.9283,2023,8.31,720,12,366,21,0.61,29,0,0.00,220,28,36,78,8,0.00,0.00,33.02
7589,Uttar Pradesh,Aligarh,Firdaus Nagar,78.0671,27.9283,2023,7.92,798,0,403,35,0.62,22,15,0.00,210,36,29,78,38,0.08,0.00,15.98
7590,Uttar Pradesh,Aligarh,"Gyan Sarovar, Ramesh Vihar Colony",78.0894,27.8911,2023,8.07,1080,0,427,85,0.29,77,0,0.00,320,40,53,110,8,0.00,0.00,20.51
7591,Uttar Pradesh,Aligarh,Kailash Nagar,78.0972,27.8711,2023,8.44,720,12,403,21,0.61,28,0,0.00,200,36,27,98,6,0.09,0.00,21.01
7592,Uttar Pradesh,Aligarh,Kela Nagar Market,78.0904,27.9039,2023,8.38,1328,18,525,63,0.46,73,51,0.00,360,12,80,140,12,0.10,0.00,34.46
7593,Uttar Pradesh,Aligarh,"Mahendra Nagar, Aawas Vikas Colony",78.0731,27.8679,2023,7.92,2043,0,427,233,0.31,289,51,0.00,580,84,90,215,15,0.07,0.00,21.44
7594,Uttar Pradesh,Aligarh,Roravar,78.0461,27.8725,2023,8.63,994,42,500,14,1.90,17,0,0.00,50,8,7,222,2,0.00,3.04,24.35
7595,Uttar Pradesh,Aligarh,"Shankar Vihar Colony, Quarsi",78.1155,27.9040,2023,8.15,650,0,342,28,0.43,22,6,0.00,220,40,29,63,5,0.41,0.00,6.93
7596,Uttar Pradesh,Aligarh,Block H.Q,78.2811,28.0442,2023,8.21,1332,0,488,170,0.40,39,17,0.00,480,24,101,88,10,0.00,0.00,0.00
